kana,examplesKana,examplesKanji,examplesRomanji,examplesE,examplesG
あ,あか,赤,aka,red,Rot
あ,あさ,朝,asa,morning,der Morgen
あ,あたま,頭,atama,head,Kopf
ア,アニメ,,anime,anime,Anime 
ア,アメリカ,,amerika,America,Amerika
か,かく,書く,kaku,to write,schreiben
カ,カメラ,,kamera,camera,Photoapparat 
さ,さかな,魚,sakana,fish,Fisch
サ,サラダ,,sarada,salat,Salat 
た,たいいく,体育,taiiku,physical education,Sport [Unterricht]
タ,タクシー,,takushii,cab;taxi,Taxi
な,なに,,nani,what?,Was?
ナ,ナイフ,,naifu,knife,Messer
は,はなす,話す,hanasu,to speak,sprechen
ハ,ハイキング,,haikingu,hiking,Hiking
ま,まど,窓,mado,window,Fenster
マ,マラソン,,maraton,marathon,Marathon
や,やすみ,休み,yasumi,vacation;holiday,Ferien
ヤ,ヤマハ,,yamaha,Yamaha,Yamaha 
ら,らいねん,来年,rainen,next year,nächstes Jahr
ラ,カメラ,,kamera,camera,Photoapparat 
ラ,ラジオ,,rajio,radio,Radio
わ,わたし,私,watashi,I;me,ich
ワ,ワイン,,wain,wine,Wein 
が,がつ,月,gatsu,month,Monat
ガ,ガソリン,,gasorin,gasoline;petrol,Benzin 
ざ,ざっし,雑誌,zasshi,journal;magazine,Zeitschrift 
ザ,デザート,,dezaato,dessert,Nachtisch
だ,だれ,,dare,who?,wer?
ダ,ダンス,,dansu,dance,Tanz 
ば,ばくはつ,爆発,bakuhatsu,explosion,Explosion 
バ,バナナ,,banana,banana,Banane 
ぱ,かんぱい,乾杯,kanpai,toast; cheers!,zum Wohl!
パ,パソコン,,pasokon,personal computer,PC
きゃ,きゃく,客,kyaku,guest; visitor,Gast; Besucher
しゃ,かいしゃ,会社,kaisha,company,Firma 
しゃ,れっしゃ,列車,ressha,train,Zug 
ちゃ,ちゃ,茶,cha,tea,Tee
にゃ,ろうにゃく,老若,roonyaku,young and old,jung und alt
ひゃ,ひゃく,百,hyaku,hundred,Hundert
みゃ,みゃく,脈,myaku,pulse,Puls
りゃ,りゃくご,略語,ryakugo,abbreviation;acronym,Abkürzung;Akronym
い,いう,言う,iu,to say,sagen
い,いかが,,ikaga,how about?,wie wärs mit?
イ,ワイン,,wain,wine,Wein 
イ,イヤホン,,iahon,earphone,Kopfhörer
き,きいろ,黄色,kiiro,yellow,gelb
き,き,木,ki,tree; wood,Baum; Holz
キ,ウイスキー,,uisuki,whiskey,Whiskey
し,しんぶん,新聞,shinbun,newspaper,Zeitung
シ,システム,,shisutemu,system,System
ち,ちち,父,chichi,father,Vater
チ,ハンカチ,,hankachi,handkerchief​,Taschentuch
に,にく,肉,niku,flesh; meat,Fleisch
ニ,アニメ,,anime,anime,Anime 
ひ,ひこうき,飛行機,hikooki,airplane,Flugzeug
ヒ,コーヒー,,koohii,coffee,Kaffee
み,みどり,緑,midori,green,grün
